URN,ATT8SCR,TALLPPE_ALEV_1618,PCODE,Best Rank,Latitude,Longitude,Info,Region
138051,85.2,49.25,NW11 7BN,1,51.58108734,-0.18916115,"The Henrietta Barnett School<br>11-18 Girls Academy <br>GCSE: A8S 85.2, #1<br>A-level: APS 49.25, #30",Greater London
136615,85.1,48.99,KT2 5PL,2,51.42557937,-0.30286871,"The Tiffin Girls' School<br>11-18 Girls Academy <br>GCSE: A8S 85.1, #2<br>A-level: APS 48.99, #35",Greater London
136448,84.7,44.27,RG1 5BN,3,51.45117517,-0.96432853,"Kendrick School<br>11-18 Girls Academy <br>GCSE: A8S 84.7, #3<br>A-level: APS 44.27, #134",South East
136290,84.6,51.26,EN5 4DQ,4,51.65575814,-0.21252727,"Queen Elizabeth's School, Barnet<br>11-18 Boys Academy <br>GCSE: A8S 84.6, #4<br>A-level: APS 51.26, #12",Greater London
136449,83.9,47.94,RG1 5LW,5,51.44838038,-0.954391,"Reading School<br>11-18 Boys Academy <br>GCSE: A8S 83.9, #5<br>A-level: APS 47.94, #52",South East
101676,83.0,49.1,BR6 9SH,6,51.36642028,0.10393171,"St Olave's and St Saviour's Grammar School<br>11-18 Boys Maintained school <br>GCSE: A8S 83.0, #6<br>A-level: APS 49.1, #33",Greater London
136621,82.9,47.8,SM6 9JW,7,51.35885363,-0.12804574,"Wilson's School<br>11-18 Boys Academy <br>GCSE: A8S 82.9, #7<br>A-level: APS 47.8, #56",Greater London
137045,82.8,46.72,B14 7QJ,8,52.43110283,-1.90227547,"King Edward VI Camp Hill School for Boys<br>11-18 Boys Academy <br>GCSE: A8S 82.8, #8<br>A-level: APS 46.72, #75",Midlands
114614,82.6,52.27,BN2 0AL,3,50.82054442,-0.12223688,"Brighton College<br>11-19 Mixed Independent school <br>GCSE: A8S 82.6, #9<br>A-level: APS 52.27, #3",South East
137515,82.2,45.02,CO3 3US,10,51.88516802,0.8752488,"Colchester County High School for Girls<br>11-18 Girls Academy <br>GCSE: A8S 82.2, #10<br>A-level: APS 45.02, #108",Midlands
136642,82.0,46.99,CM1 3SX,11,51.74005108,0.4645248,"King Edward VI Grammar School, Chelmsford<br>11-18 Mixed Academy <br>GCSE: A8S 82.0, #11<br>A-level: APS 46.99, #70",South East
136366,81.7,46.26,EX24 6HN,12,50.72767691,-3.07213166,"Colyton Grammar School<br>11-18 Mixed Academy <br>GCSE: A8S 81.7, #12<br>A-level: APS 46.26, #87",South West
